$type=plain
$title=28-Jul-2016 @ 16:38:58 Plain Data
$sizes=[5,8,10]
$method=blcs
$comment=sin/cos data (random frequency & magnitude)
$comment=Type: plain
$date=28-Jul-2016
$time=16:38:58
$machine=9508842005245
$package=@5245.26
$project=Sample Project
;           t [s];           x [µ];           y [µ];          p [m°];
;        0.000000;        0.253306;        2.908677;       16.902641;
;        2.506266;        0.526349;        3.126859;       17.427985;
;        5.012531;        1.098562;        3.339841;       22.022205;
;        7.518797;        1.233810;        2.826694;       21.006957;
;       10.025063;        2.013892;        2.048886;       18.967110;
;       12.531328;        2.330870;        2.237215;       23.279337;
;       15.037594;        2.909675;        1.722331;       23.688687;
;       17.543860;        3.395988;        1.275968;       23.509744;
;       20.050125;        3.818557;        0.849001;       22.796463;
;       22.556391;        4.009432;        0.192391;       21.004098;
;       25.062657;        3.669856;       -0.108507;       17.872302;
;       27.568922;        3.582796;       -0.717876;       14.982886;
;       30.075188;        3.675166;       -1.049425;       13.595958;
;       32.581454;        3.385781;       -1.339092;        9.986686;
;       35.087719;        3.136057;       -1.723460;        8.204857;
;       37.593985;        2.759446;       -2.199362;        2.764566;
;       40.100251;        1.860054;       -2.485895;       -3.702658;
;       42.606516;        1.769468;       -2.675015;       -4.837244;
;       45.112782;        1.102378;       -2.725705;       -7.510185;
;       47.619048;        0.399442;       -2.584758;      -10.788630;
;       50.125313;       -0.169335;       -2.819997;      -14.318220;
;       52.631579;       -0.352256;       -3.055337;      -16.989001;
;       55.137845;       -1.342442;       -2.674052;      -18.322499;
;       57.644110;       -1.967767;       -2.746138;      -24.748917;
;       60.150376;       -2.170949;       -2.962141;      -25.960100;
;       62.656642;       -2.249725;       -2.824150;      -25.429073;
;       65.162907;       -3.028913;       -2.269015;      -26.426351;
;       67.669173;       -3.274018;       -1.413776;      -22.405875;
;       70.175439;       -3.746908;       -1.089989;      -24.028710;
;       72.681704;       -3.349184;       -0.657742;      -20.116212;
;       75.187970;       -3.704586;        0.048082;      -18.233779;
;       77.694236;       -3.571047;        0.308774;      -15.777144;
;       80.200501;       -3.729805;        0.779044;      -15.244144;
;       82.706767;       -3.132627;        1.595245;       -7.366117;
;       85.213033;       -2.914941;        2.051671;       -5.430537;
;       87.719298;       -2.842749;        2.915919;        0.309722;
;       90.225564;       -2.147857;        2.570201;        1.440569;
;       92.731830;       -1.742370;        2.740336;        4.524349;
;       95.238095;       -1.081580;        2.724502;        8.416148;
;       97.744361;       -0.580333;        2.946194;       11.026352;
;      100.250627;        0.020287;        3.021998;       14.505264;
;      102.756892;        0.435589;        2.456289;       13.376482;
;      105.263158;        1.152358;        2.797231;       18.155148;
;      107.769424;        1.917344;        2.916665;       24.061694;
;      110.275689;        2.616660;        2.256129;       25.195815;
;      112.781955;        2.466518;        2.266484;       23.534781;
;      115.288221;        3.567621;        2.050222;       27.921671;
;      117.794486;        3.694981;        1.664159;       26.045727;
;      120.300752;        3.635033;        1.126118;       24.940746;
;      122.807018;        3.667812;       -0.275500;       16.782683;
;      125.313283;        3.623099;       -0.233644;       17.875793;
;      127.819549;        3.880727;       -0.260898;       18.359010;
;      130.325815;        3.419047;       -0.882083;       12.495885;
;      132.832080;        3.230105;       -1.442996;        9.713167;
;      135.338346;        3.187235;       -1.715454;        8.065223;
;      137.844612;        2.701382;       -1.861885;        4.117323;
;      140.350877;        2.337184;       -2.468630;        0.275399;
;      142.857143;        1.743892;       -2.993953;       -4.967770;
;      145.363409;        1.003706;       -2.991194;       -9.984706;
;      147.869674;        0.399129;       -3.102955;      -13.703399;
;      150.375940;        0.074655;       -2.789724;      -13.283579;
;      152.882206;       -0.820463;       -2.891523;      -18.306170;
;      155.388471;       -1.013813;       -2.727001;      -18.121243;
;      157.894737;       -1.641186;       -2.656144;      -21.671216;
;      160.401003;       -2.246588;       -2.552510;      -23.478853;
;      162.907268;       -2.750364;       -2.099176;      -23.489766;
;      165.413534;       -3.052858;       -1.675971;      -23.515750;
;      167.919799;       -2.699658;       -1.758151;      -22.178132;
;      170.426065;       -3.667616;       -0.817430;      -23.333184;
;      172.932331;       -4.092107;       -0.111262;      -21.866198;
;      175.438596;       -3.405999;        0.050726;      -17.835269;
;      177.944862;       -3.614474;        1.055914;      -13.694797;
;      180.451128;       -3.720689;        1.210508;      -12.663390;
;      182.957393;       -2.800508;        1.349257;       -8.428061;
;      185.463659;       -2.902544;        1.839547;       -3.684424;
;      187.969925;       -2.554451;        2.162911;       -1.420748;
;      190.476190;       -2.310536;        2.629474;        0.092200;
;      192.982456;       -1.850126;        3.032386;        5.071921;
;      195.488722;       -1.435476;        2.880081;        7.145059;
;      197.994987;       -0.567960;        3.214501;       11.986210;
;      200.501253;       -0.098704;        3.643717;       17.390231;
;      203.007519;        0.853163;        3.334669;       21.733866;
;      205.513784;        1.232995;        3.174079;       21.915939;
;      208.020050;        2.216823;        2.461832;       23.344247;
;      210.526316;        2.667083;        2.282105;       24.015307;
;      213.032581;        2.832632;        2.196756;       24.741404;
;      215.538847;        3.116771;        1.708343;       23.138697;
;      218.045113;        3.715307;        0.806571;       22.875453;
;      220.551378;        3.448726;        0.383509;       18.830668;
;      223.057644;        3.951101;        0.700319;       23.829918;
;      225.563910;        3.698475;       -0.347955;       17.657734;
;      228.070175;        3.687596;        0.054963;       19.501228;
;      230.576441;        3.470297;       -1.766728;        8.492328;
;      233.082707;        3.481331;       -1.374874;       10.163050;
;      235.588972;        2.864423;       -1.924868;        3.800590;
;      238.095238;        2.395793;       -2.524755;       -0.557899;
;      240.601504;        2.260587;       -2.465681;       -0.321517;
;      243.107769;        1.528348;       -3.084384;       -8.030431;
;      245.614035;        1.124960;       -2.735924;       -8.182105;
