$type='simple'
$title='28-Jul-2016 @ 16:44:32 Simple Data'
$sizes=[6,10,8]
$method='blrm'
$comment='sin/cos data (random frequency & magnitude)'
$comment='Type: simple'
$date='28-Jul-2016'
$time='16:44:32'
$machine='00000010'
$project='Sample Project'
           t [s]           x [µ]           y [µ]          p [m°]          ux [µ]          uy [µ]
        0.000000        9.880625        9.855523       81.474920       -0.160779       -0.010657
        2.087683        9.942589       10.391461       85.133191        0.205305        0.021786
        4.175365       10.625660       10.007634       89.020551       -0.236396       -0.033848
        6.263048       10.734885       10.031975       90.672147       -0.179876        0.025240
        8.350731       10.725652       10.362200       90.451913        0.134642       -0.159701
       10.438413       11.115449        9.920567       89.260593        0.035769        0.041272
       12.526096       11.023767        9.583805       89.548738       -0.047180        0.041564
       14.613779       11.669761        9.932039       95.156937        0.001276       -0.000107
       16.701461       11.724265        8.938517       89.703046        0.080445       -0.031764
       18.789144       12.243106        8.857834       92.596879       -0.095483       -0.038969
       20.876827       11.778108        9.511866       91.928520        0.102098       -0.153430
       22.964509       12.359155        8.871300       92.222709        0.076705        0.098615
       25.052192       12.282340        8.543974       89.028982       -0.004967        0.057219
       27.139875       12.334655        8.510886       90.081380        0.021033       -0.097847
       29.227557       12.501332        8.104750       89.298382       -0.069164       -0.132954
       31.315240       12.610556        7.905893       87.665847       -0.094227       -0.034672
       33.402923       12.141845        7.686710       80.897224       -0.042758        0.061275
       35.490605       12.584307        7.447639       85.343280        0.113136        0.074938
       37.578288       12.010446        7.145344       78.092953       -0.026369        0.048114
       39.665971       11.948484        7.234181       77.861793       -0.049679        0.069122
       41.753653       11.916218        6.908203       73.862281       -0.107719        0.157940
       43.841336       12.064601        7.358130       80.298598       -0.124679       -0.153388
       45.929019       11.543021        6.844556       72.935728        0.002433        0.042256
       48.016701       11.650036        6.947452       74.490062        0.114426       -0.004887
       50.104384       11.471559        6.475453       68.649103        0.135463       -0.067399
       52.192067       11.209968        6.389042       66.529068        0.061620        0.064509
       54.279749       11.068258        6.708649       67.604698       -0.033994       -0.000496
       56.367432       10.485535        6.704260       65.955496       -0.040436        0.108010
       58.455115       10.685082        6.219496       61.585054        0.040220       -0.093062
       60.542797       10.257153        6.693823       62.477642        0.103118       -0.076281
       62.630480       10.132196        6.314879       58.318359        0.107167        0.039008
       64.718163        9.535258        6.292934       55.627630       -0.233082       -0.079877
       66.805846        9.497917        6.877934       58.619769       -0.005111        0.010911
       68.893528        9.423614        6.728914       57.134131       -0.106346       -0.036171
       70.981211        9.217791        6.607388       55.633733       -0.051837        0.098701
       73.068894        8.772057        6.541697       51.812873        0.190875        0.039301
       75.156576        8.203128        6.360695       46.664759       -0.085528       -0.036630
       77.244259        8.162350        6.611245       45.466044       -0.185218       -0.057482
       79.331942        8.252834        7.338323       53.339173        0.019473       -0.036439
       81.419624        8.212736        6.316937       46.591528       -0.013693        0.215448
       83.507307        8.009678        6.901058       48.695406       -0.045711       -0.004466
       85.594990        7.677920        7.209901       49.040280        0.096740       -0.018232
       87.682672        8.170428        7.493147       55.587574        0.062274       -0.017778
       89.770355        7.664630        7.089710       48.424283        0.041351        0.136468
       91.858038        7.788222        7.986893       53.396371       -0.030465       -0.155899
       93.945720        7.515531        8.241144       53.535611        0.038511        0.100123
       96.033403        7.387659        7.923467       51.066172       -0.032044       -0.064735
       98.121086        7.795630        8.322261       56.235558        0.020469       -0.024603
      100.208768        7.934380        8.216599       56.984376        0.063426        0.060966
      102.296451        8.186501        9.265362       67.290956        0.037362       -0.084281
      104.384134        7.822642        9.054180       61.649537       -0.074011        0.038315
      106.471816        7.737039        9.024473       61.067612       -0.059072       -0.006709
      108.559499        8.560329        8.967246       66.483730       -0.114417       -0.125893
      110.647182        8.463736        9.417085       69.786248        0.109701        0.017308
      112.734864        8.376772       10.024275       73.761529       -0.002866        0.052235
      114.822547        8.705916        9.696345       72.678225       -0.072270        0.057407
      116.910230        8.880962        9.806952       74.523352        0.074552       -0.050938
      118.997912        9.521114        9.397795       77.292599       -0.056192       -0.001452
      121.085595        9.649630        9.866128       81.277027        0.049061        0.056009
      123.173278        9.828433       10.082332       83.825544        0.166830        0.048009
      125.260960       10.080973        9.427330       83.571340        0.103153       -0.035041
